Year,Group,Country,Incidence,Lat,Lon
1995,High-income,Andorra,245.0,42.5,1.5
1995,High-income,Antigua and Barbuda,25.0,17.05,-61.8
1995,High-income,Australia,39.9,-14.3333333,-170.0
1995,High-income,Australia,39.9,-25.0,135.0
1995,High-income,Austria,122.0,47.333333,13.333333
1995,High-income,Bahamas,154.0,24.0,-76.0
1995,High-income,Bahrain,138.0,26.0,50.5
1995,High-income,Barbados,11.9,13.166667,-59.533333
1995,High-income,Belgium,99.0,50.833333,4.0
1995,High-income,Brunei Darussalam,407.0,4.5,114.666667
1995,High-income,Canada,48.9,60.0,-96.0
1995,High-income,Chile,257.0,-30.0,-71.0
1995,High-income,Cook Islands,124.0,-16.083333,-161.583333
1995,High-income,Croatia,335.0,45.166667,15.5
1995,High-income,Cyprus,31.1,35.0,33.0
1995,High-income,Czech Republic,131.0,49.75,15.0
1995,High-income,Denmark,53.9,56.0,10.0
1995,High-income,Estonia,240.0,59.0,26.0
1995,High-income,Finland,93.0,64.0,26.0
1995,High-income,France,113.0,46.0,2.0
1995,High-income,Germany,116.0,51.5,10.5
1995,High-income,Greece,59.0,39.0,22.0
1995,High-income,Hungary,265.0,47.0,20.0
1995,High-income,Iceland,39.8,65.0,-18.0
1995,High-income,Ireland,109.0,53.0,-8.0
1995,High-income,Israel,53.9,31.5,34.75
1995,High-income,Italy,55.8,42.833333,12.833333
1995,High-income,Japan,270.0,36.0,138.0
1995,High-income,Kuwait,115.0,29.5,47.75
1995,High-income,Latvia,563.0,57.0,25.0
1995,High-income,Lithuania,409.0,56.0,24.0
1995,High-income,Luxembourg,68.0,49.75,6.166667
1995,High-income,Malta,41.2,35.916667,14.433333
1995,High-income,Monaco,16.7,43.733333,7.4
1995,High-income,Nauru,369.0,-0.533333,166.916667
1995,High-income,Netherlands,69.0,52.5,5.75
1995,High-income,New Zealand,66.0,-42.0,174.0
1995,High-income,Norway,42.3,62.0,10.0
1995,High-income,Oman,130.0,21.0,57.0
1995,High-income,Poland,291.0,52.0,20.0
1995,High-income,Portugal,401.0,39.5,-8.0
1995,High-income,Qatar,301.0,25.5,51.25
1995,High-income,Republic of Korea,785.0,37.0,127.5
1995,High-income,Saint Kitts and Nevis,50.2,17.333333,-62.75
1995,High-income,San Marino,41.3,43.933333,12.416667
1995,High-income,Saudi Arabia,96.0,25.0,45.0
1995,High-income,Seychelles,173.0,-4.583333,55.666667
1995,High-income,Singapore,380.0,1.366667,103.8
1995,High-income,Slovakia,208.0,48.666667,19.5
1995,High-income,Slovenia,211.0,46.25,15.166667
1995,High-income,Spain,154.0,40.0,-4.0
1995,High-income,Sweden,44.0,62.0,15.0
1995,High-income,Switzerland,103.0,47.0,8.0
1995,High-income,Trinidad and Tobago,80.0,11.0,-61.0
1995,High-income,United Arab Emirates,72.0,24.0,54.0
1995,High-income,United Kingdom of Great Britain and Northern Ireland,72.0,54.0,-4.0
1995,High-income,United States of America,65.6,39.828175,-98.5795
1995,High-income,Uruguay,161.0,-33.0,-56.0
1995,Low-income,Afghanistan,1136.0,33.0,66.0
1995,Low-income,Benin,673.0,9.5,2.25
1995,Low-income,Burkina Faso,511.0,13.0,-2.0
1995,Low-income,Burundi,1466.0,-3.5,30.0
1995,Low-income,Central African Republic,6257.0,7.0,21.0
1995,Low-income,Chad,667.0,15.0,19.0
1995,Low-income,Comoros,298.0,-12.166667,44.25
1995,Low-income,Democratic People's Republic of Korea,2299.0,40.0,127.0
1995,Low-income,Democratic Republic of the Congo,1960.0,0.0,25.0
1995,Low-income,Eritrea,1178.0,15.0,39.0
1995,Low-income,Ethiopia,2358.0,8.0,38.0
1995,Low-income,Gambia,816.0,13.5,-15.5
1995,Low-income,Guinea,1502.0,11.0,-10.0
1995,Low-income,Guinea-Bissau,1578.0,12.0,-15.0
1995,Low-income,Haiti,1480.0,19.0,-72.416667
1995,Low-income,Liberia,1251.0,6.5,-9.5
1995,Low-income,Madagascar,2184.0,-20.0,47.0
1995,Low-income,Malawi,2068.0,-13.5,34.0
1995,Low-income,Mali,470.0,17.0,-4.0
1995,Low-income,Mozambique,2654.0,-18.25,35.0
1995,Low-income,Nepal,979.0,28.0,84.0
1995,Low-income,Niger,1910.0,16.0,8.0
1995,Low-income,Niue,309.0,-19.033333,-169.866667
1995,Low-income,Rwanda,491.0,-2.0,30.0
1995,Low-income,Senegal,870.0,14.0,-14.0
1995,Low-income,Sierra Leone,1597.0,8.5,-11.5
1995,Low-income,Somalia,1713.0,6.0,48.0
1995,Low-income,Togo,313.0,8.0,1.166667
1995,Low-income,Uganda,3509.0,2.0,33.0
1995,Low-income,United Republic of Tanzania,2655.0,-6.0,35.0
1995,Low-income,Zimbabwe,2135.0,-19.0,29.0
1995,Lower-middle-income,Armenia,165.0,40.0,45.0
1995,Lower-middle-income,Bangladesh,1349.0,24.0,90.0
1995,Lower-middle-income,Bhutan,4009.0,27.5,90.5
1995,Lower-middle-income,Bolivia (Plurinational State of),1397.0,-17.0,-65.0
1995,Lower-middle-income,Cabo Verde,1028.0,16.0,-24.0
1995,Lower-middle-income,Cambodia,3470.0,13.0,105.0
1995,Lower-middle-income,Cameroon,919.0,6.0,12.0
1995,Lower-middle-income,Congo,1234.0,-1.0,15.0
1995,Lower-middle-income,Côte d'Ivoire,1894.0,8.0,-5.0
1995,Lower-middle-income,Djibouti,3716.0,11.5,42.5
1995,Lower-middle-income,Egypt,199.0,27.0,30.0
1995,Lower-middle-income,El Salvador,332.0,13.833333,-88.916667
1995,Lower-middle-income,Ghana,1297.0,8.0,-2.0
1995,Lower-middle-income,Guatemala,437.0,15.5,-90.25
1995,Lower-middle-income,Honduras,681.0,15.0,-86.5
1995,Lower-middle-income,India,1297.0,20.0,77.0
1995,Lower-middle-income,Indonesia,2701.0,-5.0,120.0
1995,Lower-middle-income,Kenya,889.0,1.0,38.0
1995,Lower-middle-income,Kiribati,1613.0,-5.0,-170.0
1995,Lower-middle-income,Kyrgyzstan,770.0,41.0,75.0
1995,Lower-middle-income,Lao People's Democratic Republic,2680.0,18.0,105.0
1995,Lower-middle-income,Lesotho,2195.0,-29.5,28.25
1995,Lower-middle-income,Mauritania,2284.0,20.0,-12.0
1995,Lower-middle-income,Micronesia (Federated States of),2108.0,5.0,152.0
1995,Lower-middle-income,Mongolia,2144.0,46.0,105.0
1995,Lower-middle-income,Morocco,899.0,32.0,-5.0
1995,Lower-middle-income,Myanmar,2393.0,22.0,98.0
1995,Lower-middle-income,Nicaragua,448.0,13.0,-85.0
1995,Lower-middle-income,Nigeria,1628.0,10.0,8.0
1995,Lower-middle-income,Pakistan,1653.0,30.0,70.0
1995,Lower-middle-income,Papua New Guinea,2250.0,-6.0,147.0
1995,Lower-middle-income,Philippines,2530.0,13.0,122.0
1995,Lower-middle-income,Republic of Moldova,491.0,47.0,29.0
1995,Lower-middle-income,Samoa,197.0,-13.803096,-172.178309
1995,Lower-middle-income,Sao Tome and Principe,777.0,1.0,7.0
1995,Lower-middle-income,Solomon Islands,1649.0,-8.0,159.0
1995,Lower-middle-income,Sri Lanka,396.0,7.0,81.0
1995,Lower-middle-income,Sudan,880.0,16.0,30.0
1995,Lower-middle-income,Swaziland,1821.0,-26.5,31.5
1995,Lower-middle-income,Syrian Arab Republic,318.0,35.0,38.0
1995,Lower-middle-income,Tajikistan,650.0,39.0,71.0
1995,Lower-middle-income,Tonga,221.0,-20.0,-175.0
1995,Lower-middle-income,Tunisia,181.0,34.0,9.0
1995,Lower-middle-income,Ukraine,372.0,49.0,32.0
1995,Lower-middle-income,Uzbekistan,411.0,41.707542,63.84911
1995,Lower-middle-income,Vanuatu,816.0,-16.0,167.0
1995,Lower-middle-income,Viet Nam,1408.0,16.166667,107.833333
1995,Lower-middle-income,Yemen,827.0,15.5,47.5
